folder_name,model_name,dataset,session_timestamp,step,latency_median,latency_q1,latency_q3
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,task_generator,23.39,17.05,29.73
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,code_generator,387.85,293.81,481.89
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,validator,31.96,31.67,32.24
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,scheduler,0.53,0.53,0.53
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,task_generator,328.75,176.38,481.13
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,code_generator,516.39,486.63,546.15
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,validator,25.78,24.33,27.24
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,scheduler,0.54,0.54,0.54
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,task_generator,23.04,16.28,29.81
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,code_generator,365.74,307.81,423.66
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,validator,75.1,68.32,81.89
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,scheduler,0.53,0.53,0.53
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,task_generator,185.39,100.99,269.79
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,code_generator,109.06,69.85,148.26
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,validator,116.64,86.47,146.81
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,scheduler,0.53,0.52,0.55
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,task_generator,7.15,7.03,7.27
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,code_generator,23.91,22.45,25.37
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,validator,31.96,31.67,32.24
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,scheduler,108.83,102.34,115.32
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,task_generator,7.23,6.92,7.53
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,code_generator,27.18,26.67,27.69
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,validator,25.78,24.33,27.24
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,scheduler,145.19,143.39,147
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,task_generator,5.39,4.93,5.86
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,code_generator,20.3,19.31,21.29
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,validator,75.1,68.32,81.89
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,scheduler,254.47,252.82,256.11
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,task_generator,4.86,4.47,5.25
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,code_generator,26.03,23.98,28.07
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,validator,116.64,86.47,146.81
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,scheduler,0.53,0.52,0.55
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,task_generator,16.55,16.03,17.07
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,code_generator,32.36,30.23,34.49
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,validator,31.96,31.67,32.24
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,scheduler,0.53,0.53,0.53
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,task_generator,16.57,15.51,17.62
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,code_generator,188.86,113.36,264.36
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,validator,25.78,24.33,27.24
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,scheduler,0.53,0.53,0.53
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,task_generator,16.5,15.05,17.95
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,code_generator,32.42,31.48,33.37
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,validator,75.1,68.32,81.89
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,scheduler,0.54,0.54,0.54
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,task_generator,14.77,14.71,14.83
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,code_generator,27.44,25.26,29.63
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,validator,116.64,86.47,146.81
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,scheduler,0.54,0.53,0.55
