folder_name,model_name,dataset,session_timestamp,step,prompt_tokens_median,prompt_tokens_q1,prompt_tokens_q3,completion_tokens_median,completion_tokens_q1,completion_tokens_q3,total_tokens_median,total_tokens_q1,total_tokens_q3,prompt_tokens_per_sec_median,prompt_tokens_per_sec_q1,prompt_tokens_per_sec_q3,completion_tokens_per_sec_median,completion_tokens_per_sec_q1,completion_tokens_per_sec_q3,total_tokens_per_sec_median,total_tokens_per_sec_q1,total_tokens_per_sec_q3
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,task_generator,3553.0,3553.0,3553.0,1293.0,1187.5,1398.5,4846.0,4740.5,4951.5,215.12,156.81,273.44,85.21,57.6,112.82,300.33,214.41,386.26
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,code_generator,96549.5,91845.25,101253.75,135547.0,121142.5,149951.5,232096.5,212987.75,251205.25,310.1,247.04,373.16,409.85,347.61,472.08,719.95,594.65,845.24
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,task_generator,2369.0,2369.0,2369.0,8901.0,5159.5,12642.5,11270.0,7528.5,15011.5,51.22,27.48,74.96,42.47,34.17,50.77,93.69,61.65,125.73
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,code_generator,75288.0,68985.5,81590.5,145137.0,132856.5,157417.5,220425.0,201842.0,239008.0,144.91,141.06,148.76,279.29,271.6,286.98,424.2,412.66,435.74
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,task_generator,2332.0,2332.0,2332.0,1241.5,999.75,1483.25,3573.5,3331.75,3815.25,154.48,109.12,199.83,63.43,55.3,71.56,217.91,164.42,271.4
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,code_generator,88199.0,86615.0,89783.0,165690.5,158922.25,172458.75,253889.5,248705.25,259073.75,271.1,223.83,318.36,490.52,431.34,549.7,761.62,655.17,868.06
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),meteo-data,20260731_161341,task_generator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),meteo-data,20260731_161341,code_generator,18591.0,0.0,0.0,94695.0,0.0,0.0,113286.0,0.0,0.0,6.82,0.0,0.0,34.74,0.0,0.0,41.56,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),meteo-data,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),meteo-data,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,task_generator,2362.0,2362.0,2362.0,8581.5,4680.25,12482.75,10943.5,7042.25,14844.75,74.5,40.58,108.42,46.6,46.43,46.77,121.1,87.01,155.19
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,code_generator,31248.0,0.0,0.0,54208.0,0.0,0.0,85456.0,0.0,0.0,1019.71,0.0,0.0,1768.96,0.0,0.0,2788.67,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,task_generator,3542.0,3542.0,3542.0,321.5,309.75,333.25,3863.5,3851.75,3875.25,495.99,487.75,504.22,44.91,44.01,45.81,540.9,533.56,548.24
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,code_generator,90862.5,85436.25,96288.75,16953.0,16163.5,17742.5,107815.5,101599.75,114031.25,3801.31,3796.81,3805.82,711.55,701.24,721.85,4512.86,4498.06,4527.67
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,task_generator,2356.0,2356.0,2356.0,428.0,419.0,437.0,2784.0,2775.0,2793.0,328.42,314.56,342.28,59.87,56.1,63.65,388.29,370.67,405.92
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,code_generator,81489.0,79924.5,83053.5,17642.5,17323.75,17961.25,99131.5,97248.25,101014.75,2998.08,2996.88,2999.29,649.15,648.67,649.62,3647.23,3646.5,3647.96
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,task_generator,2325.0,2325.0,2325.0,243.5,243.25,243.75,2568.5,2568.25,2568.75,444.28,405.81,482.75,46.55,42.47,50.62,490.83,448.28,533.37
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,code_generator,58797.0,58793.5,58800.5,12081.5,11908.25,12254.75,70878.5,70701.75,71055.25,2924.45,2781.78,3067.13,599.23,578.5,619.97,3523.69,3360.28,3687.1
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,task_generator,2359.0,2359.0,2359.0,244.5,243.75,245.25,2603.5,2602.75,2604.25,498.3,458.53,538.06,51.7,47.42,55.98,549.99,505.95,594.04
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,code_generator,18631.0,18630.0,18632.0,4105.5,4084.75,4126.25,22736.5,22714.75,22758.25,734.04,676.33,791.75,161.5,149.59,173.41,895.54,825.92,965.16
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,task_generator,4164.5,4164.25,4164.75,2375.5,2264.25,2486.75,6540.0,6428.5,6651.5,252.61,244.72,260.5,143.25,141.01,145.49,395.86,390.21,401.51
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,code_generator,59894.0,56828.5,62959.5,32785.5,31444.25,34126.75,92679.5,88272.75,97086.25,1858.14,1830.47,1885.81,1019.92,994.18,1045.66,2878.06,2824.65,2931.47
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,task_generator,2869.5,2868.75,2870.25,2385.0,2331.0,2439.0,5254.5,5201.25,5307.75,176.09,164.83,187.35,145.5,139.49,151.51,321.59,304.32,338.86
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,code_generator,54256.5,52449.75,56063.25,46067.0,44110.0,48024.0,100323.5,96559.75,104087.25,838.76,493.89,1183.64,722.09,423.06,1021.11,1560.85,916.94,2204.75
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,task_generator,3010.0,3009.5,3010.5,2294.5,2108.75,2480.25,5304.5,5119.25,5489.75,188.3,171.71,204.88,139.44,138.44,140.44,327.74,310.15,345.32
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,code_generator,61024.5,60031.75,62017.25,39360.5,38441.25,40279.75,100385.0,100311.5,100458.5,1885.01,1860.67,1909.35,1221.45,1157.49,1285.42,3106.46,3018.15,3194.77
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,task_generator,2946.5,2946.25,2946.75,1669.0,1630.5,1707.5,4615.5,4577.25,4653.75,199.55,198.74,200.35,113.07,110.0,116.15,312.62,308.74,316.5
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,code_generator,18359.5,18355.75,18363.25,11300.0,10914.5,11685.5,29659.5,29277.75,30041.25,686.5,631.7,741.3,417.91,398.68,437.14,1104.41,1030.38,1178.44
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
