reported_model,model_run,dataset,folder_name,session_timestamp,run_idx_in_session,step1_file,step2_file,step3_file,step4_file,validator_file,scheduler_log
moonshotai_kimi-k2.7-code_lei_v3_cloud,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,local_run,20260731_161341,1,step1_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,step2_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,step4_resource_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,
moonshotai_kimi-k2.7-code_lei_v3_cloud,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,local_run,20260731_161341,2,step1_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,step2_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,step4_resource_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,
moonshotai_kimi-k2.7-code_lei_v3_cloud,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,local_run,20260731_161341,1,step1_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,step2_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,step4_resource_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,
moonshotai_kimi-k2.7-code_lei_v3_cloud,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,local_run,20260731_161341,2,step1_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,step2_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,step4_resource_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,
moonshotai_kimi-k2.7-code_lei_v3_cloud,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,local_run,20260731_161341,1,step1_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,step2_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,step4_resource_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,
moonshotai_kimi-k2.7-code_lei_v3_cloud,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,local_run,20260731_161341,2,step1_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,step2_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,step4_resource_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,
moonshotai_kimi-k2.7-code_lei_v3_cloud,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),meteo-data,local_run,20260731_161341,1,,step2_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_161341.csv,,,,
moonshotai_kimi-k2.7-code_lei_v3_cloud,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,local_run,20260731_204159,1,step1_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_204159.csv,,,,,
moonshotai_kimi-k2.7-code_lei_v3_cloud,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,local_run,20260731_204159,2,step1_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_204159.csv,step2_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_204159.csv,,step4_resource_moonshotai_kimi-k2.7-code_lei_v3_cloud_20260731_204159.csv,,
openai_gpt-4o-mini_lei_v3_cloud,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,local_run,20260731_161341,1,step1_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,step2_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,step4_resource_openai_gpt-4o-mini_lei_v3_cloud_20260731_161341.csv,,
